x,y,label
0.1475,0.9464,vdj_nextgem_hs_pbmc485
0.2914,0.9387,vdj_nextgem_hs_pbmc486
0.2422,0.9432,vdj_nextgem_hs_pbmc487
0.8134,0.9247,vdj_nextgem_hs_pbmc488
0.4612,0.9312,vdj_nextgem_hs_pbmc489
0.1917,0.9484,vdj_nextgem_hs_pbmc490
0.4317,0.9477,vdj_nextgem_hs_pbmc491
0.8906,0.9127,vdj_nextgem_hs_pbmc492
0.6899,0.9396,vdj_nextgem_hs_pbmc493
0.7314,0.9291,vdj_nextgem_hs_pbmc494
0.9395,0.9197,vdj_nextgem_hs_pbmc495
0.3747,0.9496,vdj_nextgem_hs_pbmc496
0.5445,0.9413,vdj_nextgem_hs_pbmc497
0.1111,0.9827,vdj_nextgem_hs_pbmc498
0.3191,0.9651,vdj_nextgem_hs_pbmc499
0.6308,0.9526,vdj_nextgem_hs_pbmc500
0.06073,0.9771,vdj_nextgem_hs_pbmc501
0.2476,0.9619,vdj_nextgem_hs_pbmc502
